Column1,Column2,Column3,Column4,Column5,Column6,Column7
1,"Total, all countries or areas",2010,Employment by industry: Industry (%) Male,26.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2010,Employment by industry: Services (%) Male,40.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2010,Employment by industry: Agriculture (%) Female,31.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2010,Employment by industry: Industry (%) Female,17.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2010,Employment by industry: Services (%) Female,51.0,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2015,Employment by industry: Agriculture (%) Male and Female,28.7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2015,Employment by industry: Industry (%) Male and Female,23.2,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2015,Employment by industry: Services (%) Male and Female,48.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2015,Employment by industry: Agriculture (%) Male,29.5,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2015,Employment by industry: Industry (%) Male,27.4,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2015,Employment by industry: Services (%) Male,43.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2015,Employment by industry: Agriculture (%) Female,27.4,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2015,Employment by industry: Industry (%) Female,16.8,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2015,Employment by industry: Services (%) Female,55.8,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2021,Employment by industry: Agriculture (%) Male and Female,26.6,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2021,Employment by industry: Industry (%) Male and Female,23.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2021,Employment by industry: Services (%) Male and Female,50.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2021,Employment by industry: Agriculture (%) Male,27.5,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2021,Employment by industry: Industry (%) Male,27.7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2021,Employment by industry: Services (%) Male,44.8,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2021,Employment by industry: Agriculture (%) Female,25.2,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2021,Employment by industry: Industry (%) Female,15.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
1,"Total, all countries or areas",2021,Employment by industry: Services (%) Female,58.8,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2005,Employment by industry: Agriculture (%) Male and Female,56.8,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2005,Employment by industry: Industry (%) Male and Female,11.8,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2005,Employment by industry: Services (%) Male and Female,31.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2005,Employment by industry: Agriculture (%) Male,53.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2005,Employment by industry: Industry (%) Male,14.4,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2005,Employment by industry: Services (%) Male,32.4,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2005,Employment by industry: Agriculture (%) Female,61.7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2005,Employment by industry: Industry (%) Female,8.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2005,Employment by industry: Services (%) Female,29.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2010,Employment by industry: Agriculture (%) Male and Female,53.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2010,Employment by industry: Industry (%) Male and Female,12.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2010,Employment by industry: Services (%) Male and Female,34.7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2010,Employment by industry: Agriculture (%) Male,49.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2010,Employment by industry: Industry (%) Male,15.6,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2010,Employment by industry: Services (%) Male,34.6,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2010,Employment by industry: Agriculture (%) Female,57.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2010,Employment by industry: Industry (%) Female,7.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2010,Employment by industry: Services (%) Female,34.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2015,Employment by industry: Agriculture (%) Male and Female,49.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2015,Employment by industry: Industry (%) Male and Female,12.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2015,Employment by industry: Services (%) Male and Female,37.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2015,Employment by industry: Agriculture (%) Male,47.5,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2015,Employment by industry: Industry (%) Male,16.4,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2015,Employment by industry: Services (%) Male,36.2,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2015,Employment by industry: Agriculture (%) Female,53.2,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2015,Employment by industry: Industry (%) Female,8.5,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2015,Employment by industry: Services (%) Female,38.4,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2021,Employment by industry: Agriculture (%) Male and Female,48.4,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2021,Employment by industry: Industry (%) Male and Female,13.6,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2021,Employment by industry: Services (%) Male and Female,38.0,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2021,Employment by industry: Agriculture (%) Male,46.4,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2021,Employment by industry: Industry (%) Male,17.2,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2021,Employment by industry: Services (%) Male,36.5,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2021,Employment by industry: Agriculture (%) Female,51.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2021,Employment by industry: Industry (%) Female,8.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
2,Africa,2021,Employment by industry: Services (%) Female,40.0,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2005,Employment by industry: Agriculture (%) Male and Female,33.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2005,Employment by industry: Industry (%) Male and Female,21.8,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2005,Employment by industry: Services (%) Male and Female,44.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2005,Employment by industry: Agriculture (%) Male,29.8,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2005,Employment by industry: Industry (%) Male,24.2,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2005,Employment by industry: Services (%) Male,45.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2005,Employment by industry: Agriculture (%) Female,46.0,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2005,Employment by industry: Industry (%) Female,13.0,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2005,Employment by industry: Services (%) Female,41.0,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2010,Employment by industry: Agriculture (%) Male and Female,29.2,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2010,Employment by industry: Industry (%) Male and Female,24.6,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2010,Employment by industry: Services (%) Male and Female,46.2,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2010,Employment by industry: Agriculture (%) Male,25.6,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2010,Employment by industry: Industry (%) Male,28.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2010,Employment by industry: Services (%) Male,46.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2010,Employment by industry: Agriculture (%) Female,42.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2010,Employment by industry: Industry (%) Female,11.7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2010,Employment by industry: Services (%) Female,46.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2015,Employment by industry: Agriculture (%) Male and Female,26.7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2015,Employment by industry: Industry (%) Male and Female,24.4,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2015,Employment by industry: Services (%) Male and Female,49.0,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2015,Employment by industry: Agriculture (%) Male,23.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2015,Employment by industry: Industry (%) Male,28.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2015,Employment by industry: Services (%) Male,48.5,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2015,Employment by industry: Agriculture (%) Female,38.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2015,Employment by industry: Industry (%) Female,11.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2015,Employment by industry: Services (%) Female,50.5,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2021,Employment by industry: Agriculture (%) Male and Female,23.7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2021,Employment by industry: Industry (%) Male and Female,26.0,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2021,Employment by industry: Services (%) Male and Female,50.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2021,Employment by industry: Agriculture (%) Male,21.5,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2021,Employment by industry: Industry (%) Male,29.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2021,Employment by industry: Services (%) Male,49.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2021,Employment by industry: Agriculture (%) Female,32.4,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2021,Employment by industry: Industry (%) Female,12.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
15,Northern Africa,2021,Employment by industry: Services (%) Female,55.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2005,Employment by industry: Agriculture (%) Male and Female,61.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2005,Employment by industry: Industry (%) Male and Female,10.0,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2005,Employment by industry: Services (%) Male and Female,28.8,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2005,Employment by industry: Agriculture (%) Male,59.6,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2005,Employment by industry: Industry (%) Male,11.7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2005,Employment by industry: Services (%) Male,28.7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2005,Employment by industry: Agriculture (%) Female,63.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2005,Employment by industry: Industry (%) Female,7.8,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2005,Employment by industry: Services (%) Female,29.0,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2010,Employment by industry: Agriculture (%) Male and Female,57.6,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2010,Employment by industry: Industry (%) Male and Female,9.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2010,Employment by industry: Services (%) Male and Female,32.5,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2010,Employment by industry: Agriculture (%) Male,56.7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2010,Employment by industry: Industry (%) Male,11.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2010,Employment by industry: Services (%) Male,31.2,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2010,Employment by industry: Agriculture (%) Female,58.7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2010,Employment by industry: Industry (%) Female,7.5,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2010,Employment by industry: Services (%) Female,33.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2015,Employment by industry: Agriculture (%) Male and Female,54.0,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2015,Employment by industry: Industry (%) Male and Female,11.0,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2015,Employment by industry: Services (%) Male and Female,35.0,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2015,Employment by industry: Agriculture (%) Male,53.6,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2015,Employment by industry: Industry (%) Male,13.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2015,Employment by industry: Services (%) Male,33.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2015,Employment by industry: Agriculture (%) Female,54.5,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2015,Employment by industry: Industry (%) Female,8.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2015,Employment by industry: Services (%) Female,37.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
