incikey,inci_id,nibrs,offense,date_occu,hour_occu,date_rept,hour_rept,streetmasked,street,reportedas,geoy,geox,category,OBJECTID,x,y
5517,2024000899,26A,THEFT- OBTAINED BY DECEPTION                                ,2024-01-26,1755,2024-01-30,1745,1300-BLK of,AURORA AV,FRAUD,41.766259514148,-88.177390524246,Theft,15,-9815862.21263869,5126030.30497946
5518,2024000925,99C8,ASSIST STATE POLICE                                         ,2024-01-31,1532,2024-01-31,1532,900-BLK of,HEATHROW LN,INFORMATION FOR,41.752980747882,-88.168258638087,Non-Criminal Offenses,16,-9814845.65572149,5124048.67845754
5521,2024000931,90Z,VIOLATION OF ORDER OF PROTECTION                            ,2024-01-31,1913,2024-01-31,1927,1300-BLK of,AURORA AV,INFORMATION FOR,41.766259514148,-88.177390524246,Other Criminal Offenses,17,-9815862.21263869,5126030.30497946
5522,2024000995,99F9,CHECK FOR WELL BEING                                        ,2024-02-01,2115,2024-02-01,2115,900-BLK of,HEATHROW LN,WELL BEING CHEC,41.752980747882,-88.168258638087,Non-Criminal Offenses,18,-9814845.65572149,5124048.67845754
5523,2024000962,99K2,LOST PROPERTY                                               ,2024-01-31,0000,2024-02-01,1102,900-BLK of,HEATHROW LN,PROPERTY LOST O,41.752980747882,-88.168258638087,Non-Criminal Offenses,19,-9814845.65572149,5124048.67845754
5524,2024000914,99J8,IMPOUNDED ANIMAL                                            ,2024-01-31,0841,2024-01-31,0841,600-BLK of,AMERSALE DR,ANIMAL CALL,41.782258941252,-88.207846150918,Non-Criminal Offenses,20,-9819252.51749161,5128418.48801816
5525,2024000958,99D0,ASSIST FEDERAL LAW ENFORCEMENT                              ,2024-02-01,0937,2024-02-01,0937,1300-BLK of,AURORA AV,ASSIST OTHER AG,41.766259514148,-88.177390524246,Non-Criminal Offenses,21,-9815862.21263869,5126030.30497946
5526,2024001003,99A8,HIT AND RUN                                                 ,2024-01-30,1435,2024-02-02,1105,,95TH ST/SKYLANE DR,HIT AND RUN  CO,41.710265915386,-88.194438564218,Traffic Crashes,22,-9817759.9917674,5117677.00612981
5529,2024001083,99R7,WARRANT / SUMMONS / SUBPOENA                                ,2024-02-04,0343,2024-02-04,0343,900-BLK of,FAIRWAY DR,DOMESTIC  VERBA,41.786169985699,-88.214498854296,Other Criminal Offenses,23,-9819993.09304405,5129002.36767607
5530,2024001083,99I8,UNWANTED SUBJECT                                            ,2024-02-04,0343,2024-02-04,0343,900-BLK of,FAIRWAY DR,DOMESTIC  VERBA,41.786169985699,-88.214498854296,Non-Criminal Offenses,24,-9819993.09304405,5129002.36767607
5532,9024000106,99D8,INFORMATION FOR POLICE,2024-02-03,2300,2024-02-03,2313,800-BLK of,HUNTLEIGH DR,INFORMATION FOR,41.760576577895,-88.118073195082,Non-Criminal Offenses,25,-9809259.03776094,5125182.17470372
5533,2024001005,99I0,SUSPICIOUS INCIDENT / CIRCUMSTANCES                         ,2024-02-02,0826,2024-02-02,0826,1600-BLK of,COUNTRY LAKES DR,"SUSPICIOUS VEH,",41.798655410157,-88.20936456145,Non-Criminal Offenses,26,-9819421.54617885,5130866.55454648
5538,2024001067,90C,ALL OTHER DISORDERLY CONDUCT                                ,2024-02-03,1656,2024-02-03,1656,200-BLK of,MARTIN AV,UNWANTED SUBJEC,41.763021181104,-88.153014947347,Other Criminal Offenses,27,-9813148.7358305,5125547.00189544
5539,2024001062,13C,TELEPHONE THREAT                                            ,2024-02-03,1527,2024-02-03,1527,2100-BLK of,CITYGATE LN,TELEPHONE THREA,41.808487440893,-88.200527333557,Assault/Battery,28,-9818437.79046977,5132334.8213495
5540,2024001067,99R7,WARRANT / SUMMONS / SUBPOENA                                ,2024-02-03,1656,2024-02-03,1656,200-BLK of,MARTIN AV,UNWANTED SUBJEC,41.763021181104,-88.153014947347,Other Criminal Offenses,29,-9813148.7358305,5125547.00189544
5541,2024001067,99I8,UNWANTED SUBJECT                                            ,2024-02-03,1656,2024-02-03,1656,200-BLK of,MARTIN AV,UNWANTED SUBJEC,41.763021181104,-88.153014947347,Non-Criminal Offenses,30,-9813148.7358305,5125547.00189544
5542,2024001048,90J,CRIMINAL TRESPASS TO LAND                                   ,2024-02-03,0836,2024-02-03,0836,1800-BLK of,S WASHINGTON ST,PUBLIC COMPLAIN,41.733419561115,-88.128738541508,Criminal Damage and Trespass,31,-9810446.29869421,5121130.25578305
5689,2024001194,99D8,INFORMATION FOR POLICE                                      ,2024-02-07,0854,2024-02-07,1112,1200-BLK of,SANDPIPER LN,INFORMATION FOR,41.750500376579,-88.132424431092,Non-Criminal Offenses,32,-9810856.61004582,5123678.57132294
5690,2024001190,240,MOTOR VEHICLE THEFT                                         ,2024-02-07,0830,2024-02-07,0830,300-BLK of,MEADOW GREEN DR,STOLEN VEHICLE,41.725266900348,-88.144533397255,Motor Vehicle Theft,33,-9812204.57399312,5119914.18555144
5691,2024001223,90Z,FLEE OR ATTEMPT TO ELUDE PEACE OFFICER                      ,2024-02-07,2325,2024-02-07,2325,100-BLK of,E I-88/N ROUTE 59,TRAFFIC STOP,41.771456699943,-88.205647218154,Other Criminal Offenses,34,-9819007.73341603,5126806.00686873
5692,2024001223,99XX,SPEEDING                                                    ,2024-02-07,2325,2024-02-07,2325,100-BLK of,E I-88/N ROUTE 59,TRAFFIC STOP,41.771456699943,-88.205647218154,Other,35,-9819007.73341603,5126806.00686873
5693,2024001223,99A7,RECKLESS DRIVING                                            ,2024-02-07,2325,2024-02-07,2325,100-BLK of,E I-88/N ROUTE 59,TRAFFIC STOP,41.771456699943,-88.205647218154,Traffic,36,-9819007.73341603,5126806.00686873
5694,2024001223,99B3,OPERATING MOTOR VEHICLE WITH SUSPENDED REGISTRATION         ,2024-02-07,2325,2024-02-07,2325,100-BLK of,E I-88/N ROUTE 59,TRAFFIC STOP,41.771456699943,-88.205647218154,Traffic,37,-9819007.73341603,5126806.00686873
5695,2024001254,23C,THEFT - SHOPLIFTING                                         ,2024-02-08,1655,2024-02-08,1655,2500-BLK of,W 75TH ST,THEFT IN PROGRE,41.747197298643,-88.198233824367,Theft,38,-9818182.47819461,5123185.72670696
5696,2024000904,90J,CRIMINAL TRESPASS TO LAND                                   ,2024-01-30,2111,2024-01-30,2111,100-BLK of,E OGDEN AV,UNWANTED SUBJEC,41.785797208789,-88.145079683847,Criminal Damage and Trespass,39,-9812265.38633837,5128946.71429156
5697,2024000904,13B,SIMPLE BATTERY                                              ,2024-01-30,2111,2024-01-30,2111,100-BLK of,E OGDEN AV,UNWANTED SUBJEC,41.785797208789,-88.145079683847,Assault/Battery,40,-9812265.38633837,5128946.71429156
5698,2024001246,99L0,LOST/FOUND ANIMAL                                           ,2024-02-08,1416,2024-02-08,1416,500-BLK of,HEMPSTEAD AV,ANIMAL CALL,41.723781840459,-88.15647236343,Non-Criminal Offenses,41,-9813533.61362832,5119692.68710812
5699,9024000118,23H,THEFT - ALL OTHER LARCENY,2024-02-08,0000,2024-02-08,1420,300-BLK of,ROYCE WOODS CT,THEFT - ALL OTH,41.716043927724,-88.122663123168,Theft,42,-9809769.98621825,5118538.6510701
5700,2024000650,99I0,SUSPICIOUS INCIDENT / CIRCUMSTANCES                         ,2024-01-22,1929,2024-01-22,1929,2400-BLK of,JOYCE LN,WELL BEING CHEC,41.710971323761,-88.192997969017,Non-Criminal Offenses,43,-9817599.62544318,5117782.19586274
5701,2024000650,99F9,CHECK FOR WELL BEING                                        ,2024-01-22,1929,2024-01-22,1929,2400-BLK of,JOYCE LN,WELL BEING CHEC,41.710971323761,-88.192997969017,Non-Criminal Offenses,44,-9817599.62544318,5117782.19586274
5702,2024001159,26A,FRAUD                                                       ,2024-02-01,0000,2024-02-06,1646,100-BLK of,TOWNSEND CR,FRAUD,41.725010700468,-88.136150143898,Theft,45,-9811271.35449823,5119875.97267013
5703,2024001148,90Z,SUSPENDED OR REVOKED DRIVER`S LICENSE                       ,2024-02-06,1313,2024-02-06,1313,1300-BLK of,W 75TH ST/BOOK RD,TRAFFIC STOP,41.747478868202,-88.185100540365,Other Criminal Offenses,46,-9816720.48770707,5123227.73806069
5704,2024001148,99B6,DRIVER AND PASSENGER SAFETY BELTS                           ,2024-02-06,1313,2024-02-06,1313,1300-BLK of,W 75TH ST/BOOK RD,TRAFFIC STOP,41.747478868202,-88.185100540365,Traffic,47,-9816720.48770707,5123227.73806069
5705,2024001148,99B2,OPERATING UNINSURED MOTOR VEHICLE                           ,2024-02-06,1313,2024-02-06,1313,1300-BLK of,W 75TH ST/BOOK RD,TRAFFIC STOP,41.747478868202,-88.185100540365,Traffic,48,-9816720.48770707,5123227.73806069
5706,2024001148,99B3,OPERATING MOTOR VEHICLE WITH SUSPENDED REGISTRATION         ,2024-02-06,1313,2024-02-06,1313,1300-BLK of,W 75TH ST/BOOK RD,TRAFFIC STOP,41.747478868202,-88.185100540365,Traffic,49,-9816720.48770707,5123227.73806069
5708,2024001355,99R7,WARRANT / SUMMONS / SUBPOENA                                ,2024-02-11,1144,2024-02-11,1144,1300-BLK of,AURORA AV,ADMINISTRATIVE,41.766259514148,-88.177390524246,Other Criminal Offenses,50,-9815862.21263869,5126030.30497946
5710,9024000128,99D8,INFORMATION FOR POLICE,2024-02-11,0115,2024-02-11,0944,800-BLK of,HUNTLEIGH DR,INFORMATION FOR,41.760576577895,-88.118073195082,Non-Criminal Offenses,51,-9809259.03776094,5125182.17470372
5711,2024001340,23H,THEFT - ALL OTHER LARCENY                                   ,2024-02-10,1645,2024-02-10,1645,2700-BLK of,AURORA AV,THEFT,41.762808637093,-88.200329738278,Theft,52,-9818415.79426393,5125515.28174428
5712,2024001175,90D,DRIVING UNDER THE INFLUENCE - ALCOHOL                       ,2024-02-07,0147,2024-02-07,0147,1200-BLK of,RICKERT DR,UNWANTED SUBJEC,41.749621844589,-88.169675333357,Alcohol,53,-9815003.36151755,5123547.48512214
5713,2024001175,90Z,ENDANGERING THE LIFE OR HEALTH OF A CHILD                   ,2024-02-07,0147,2024-02-07,0147,1200-BLK of,RICKERT DR,UNWANTED SUBJEC,41.749621844589,-88.169675333357,Other Criminal Offenses,54,-9815003.36151755,5123547.48512214
5714,2024001175,90Z,SUSPENDED OR REVOKED DRIVER`S LICENSE                       ,2024-02-07,0147,2024-02-07,0147,1200-BLK of,RICKERT DR,UNWANTED SUBJEC,41.749621844589,-88.169675333357,Other Criminal Offenses,55,-9815003.36151755,5123547.48512214
5715,2024001175,90Z,"RESIST, OBSTRUCT, DISARM AN OFFICER                         ",2024-02-07,0147,2024-02-07,0147,1200-BLK of,RICKERT DR,UNWANTED SUBJEC,41.749621844589,-88.169675333357,Other Criminal Offenses,56,-9815003.36151755,5123547.48512214
5716,2024000924,90C,ALL OTHER DISORDERLY CONDUCT                                ,2024-01-31,1507,2024-01-31,1507,100-BLK of,W JEFFERSON AV,UNWANTED SUBJEC,41.772993968828,-88.15034169127,Other Criminal Offenses,57,-9812851.15032525,5127035.46277432
5717,2024001308,99A8,HIT AND RUN                                                 ,2024-02-08,2340,2024-02-10,0011,100-BLK of,W 87TH ST,HIT AND RUN  CO,41.728413604003,-88.125720224957,Traffic Crashes,58,-9810110.3012327,5120383.53705039
5718,2024001366,13B,DOMESTIC BATTERY                                            ,2024-02-11,2309,2024-02-11,2309,700-BLK of,CANYON RUN RD,DOMESTIC  PHYSI,41.733334984102,-88.115999252676,Assault/Battery,59,-9809028.16754837,5121117.63928277
5719,2024001349,99I0,SUSPICIOUS INCIDENT / CIRCUMSTANCES                         ,2024-02-10,2319,2024-02-10,2319,1300-BLK of,AURORA AV,"SUSPICIOUS VEH,",41.766259514148,-88.177390524246,Non-Criminal Offenses,60,-9815862.21263869,5126030.30497946
5720,2024001366,90Z,"RESIST, OBSTRUCT, DISARM AN OFFICER                         ",2024-02-11,2309,2024-02-11,2309,700-BLK of,CANYON RUN RD,DOMESTIC  PHYSI,41.733334984102,-88.115999252676,Other Criminal Offenses,61,-9809028.16754837,5121117.63928277
5721,2024001265,99G4,POSSESSION OF CANNABIS < 10 G                               ,2024-02-08,2049,2024-02-08,2049,100-BLK of,E I-88/N ROUTE 59,TRAFFIC STOP,41.771456699943,-88.205647218154,Non-Criminal Offenses,62,-9819007.73341603,5126806.00686873
5846,2024000822,13B,DOMESTIC BATTERY                                            ,2024-01-28,0044,2024-01-28,0044,1000-BLK of,CHURCHILL DR,DOMESTIC  PHYSI,41.787209052752,-88.199487929188,Assault/Battery,63,-9818322.08450469,5129157.49594022
5849,2024000840,99B3,OPERATING MOTOR VEHICLE WITH SUSPENDED REGISTRATION         ,2024-01-29,0234,2024-01-29,0234,1600-BLK of,W DIEHL RD/N ROUTE 59,TRAFFIC STOP,41.771456699943,-88.205647218154,Traffic,64,-9819007.73341603,5126806.00686873
5850,2024000665,23F,THEFT FROM MOTOR VEHICLE,2024-01-23,1356,2024-01-23,1356,2200-BLK of,AURORA AV,PROPERTY LOST O,41.76401729209,-88.190690927089,Burglary from Mobile Vehicle,65,-9817342.80671052,5125695.66328791
5851,2024000824,99D8,INFORMATION FOR POLICE                                      ,2024-01-28,0138,2024-01-28,0138,800-BLK of,BENEDETTI DR,DOMESTIC  VERBA,41.783717273222,-88.162426821562,Non-Criminal Offenses,66,-9814196.46087552,5128636.19817135
5855,2024000792,99H6,JUVENILE NUISANCE / YOUTH PROBLEM                           ,2024-01-26,1922,2024-01-26,1922,2100-BLK of,WINDING RIVER DR,"SUSPICIOUS VEH,",41.726113724983,-88.204920736608,Non-Criminal Offenses,67,-9818926.86186026,5120040.49274189
5856,9024000082,26F,IDENTITY THEFT,2024-01-29,0336,2024-01-29,1240,1400-BLK of,BALDWIN CT,IDENTITY THEFT,41.744818904197,-88.156475319118,Theft,68,-9813533.94265401,5122830.86767715
5897,2024000865,99A8,HIT AND RUN                                                 ,2024-01-29,1730,2024-01-29,1735,,E 75TH ST/WEHRLI RD,HIT AND RUN  CO,41.754638154312,-88.103807739885,Traffic Crashes,69,-9807671.01455247,5124295.9953474
5898,2024000851,99I1,ABANDONED VEHICLE                                           ,2024-01-29,1235,2024-01-29,1235,900-BLK of,N BRAINARD ST,ABANDONED VEHIC,41.786662456718,-88.142876967914,Non-Criminal Offenses,70,-9812020.18112235,5129075.89117817
5901,2024000712,99J3,STRAY ANIMAL                                                ,2024-01-24,1807,2024-01-24,1807,100-BLK of,STARLING LN,ANIMAL CALL,41.73638300331,-88.134737302846,Non-Criminal Offenses,71,-9811114.07775175,5121572.32810377
5902,2024000864,99J8,IMPOUNDED ANIMAL                                            ,2024-01-29,1659,2024-01-29,1659,600-BLK of,RAYMOND DR,ANIMAL CALL,41.781410528194,-88.183196438418,Non-Criminal Offenses,72,-9816508.52404791,5128291.83316986
5905,2024000928,23C,THEFT - SHOPLIFTING                                         ,2024-01-31,1621,2024-01-31,1621,700-BLK of,N ROUTE 59,THEFT,41.782505871056,-88.205595177308,Theft,73,-9819001.94025555,5128455.35110471
5906,2024000910,23F,BURGLARY FROM MOBILE VEHICLE                                ,2024-01-31,0728,2024-01-31,0728,1700-BLK of,BROOKDALE RD,BURGLARY  COLD,41.786573291936,-88.196825429428,Burglary from Mobile Vehicle,74,-9818025.69638717,5129062.5792727
5908,2024000764,26A,FRAUD                                                       ,2024-01-26,1216,2024-01-26,1216,1100-BLK of,E WARRENVILLE RD,FRAUD,41.808751644965,-88.129671840567,Theft,75,-9810550.19307022,5132374.27938661
5909,2024000940,90D,DRIVING UNDER THE INFLUENCE - ALCOHOL                       ,2024-01-31,2057,2024-01-31,2057,2700-BLK of,SHOWPLACE DR,WELL BEING CHEC,41.714356265916,-88.207575364774,Alcohol,76,-9819222.37371594,5118286.97083094
5912,2024000944,90Z,SUSPENDED OR REVOKED DRIVER`S LICENSE                       ,2024-02-01,0118,2024-02-01,0118,,N ROUTE 59/LA SALLE AV,TRAFFIC STOP,41.794320534852,-88.203868143463,Other Criminal Offenses,77,-9818809.68772735,5130219.2772796
5913,2024000940,99P8,HANDICAPPED PARKING VIOLATIONS                              ,2024-01-31,2057,2024-01-31,2057,2700-BLK of,SHOWPLACE DR,WELL BEING CHEC,41.714356265916,-88.207575364774,Traffic,78,-9819222.37371594,5118286.97083094
5915,2024000972,13B,DOMESTIC BATTERY                                            ,2024-02-01,1414,2024-02-01,1414,1800-BLK of,PRINCETON CR,DOMESTIC  PHYSI,41.746999618718,-88.096203567689,Assault/Battery,79,-9806824.52197571,5123156.23214693
5916,2024000893,99A8,HIT AND RUN                                                 ,2024-01-30,1436,2024-01-30,1436,2200-BLK of,95TH ST/NICOLE DR,HIT AND RUN  JU,41.709897020463,-88.190240339071,Traffic Crashes,80,-9817292.6474818,5117621.99737805
5917,2024000893,99Q2,TRAFFIC CRASH NO INJURY                                     ,2024-01-30,1436,2024-01-30,1436,2200-BLK of,95TH ST/NICOLE DR,HIT AND RUN  JU,41.709897020463,-88.190240339071,Traffic Crashes,81,-9817292.6474818,5117621.99737805
5918,2024000875,23C,THEFT - SHOPLIFTING                                         ,2024-01-30,0945,2024-01-30,0945,1200-BLK of,S NAPER BL,THEFT IN PROGRE,41.750993531876,-88.114977913944,Theft,82,-9808914.47264079,5123752.15605941
5920,2024000881,13B,DOMESTIC BATTERY                                            ,2024-01-30,1030,2024-01-30,1030,3700-BLK of,HIGHKNOB CR,DOMESTIC  PHYSI,41.708489419576,-88.220383468842,Assault/Battery,83,-9820648.16533882,5117412.10211228
5923,2024001036,99R7,WARRANT / SUMMONS / SUBPOENA                                ,2024-02-02,2030,2024-02-02,2030,800-BLK of,N WASHINGTON ST/E OGDEN AV,TRAFFIC STOP,41.795478303356,-88.12415311957,Other Criminal Offenses,84,-9809935.851859,5130392.14930144
5928,2024001099,13C,TELEPHONE THREAT                                            ,2024-02-04,1715,2024-02-04,1715,100-BLK of,TUPELO AV,TELEPHONE THREA,41.748997848567,-88.139310163296,Assault/Battery,85,-9811623.12624851,5123454.37945096
5929,2024001068,23C,THEFT - SHOPLIFTING                                         ,2024-02-03,1729,2024-02-03,1729,500-BLK of,FORT HILL DR,THEFT,41.764139241285,-88.196041852892,Theft,86,-9817938.46904618,5125713.86336335
5965,2024001000,99R1,TRAFFIC CRASH PRIVATE PROPERTY                              ,2024-01-29,1114,2024-02-02,0919,1000-BLK of,S WASHINGTON ST,HIT AND RUN  CO,41.755945803265,-88.141691032612,Traffic Crashes,87,-9811888.16340842,5124491.12620745
5966,2024001000,99A8,HIT AND RUN                                                 ,2024-01-29,1114,2024-02-02,0919,1000-BLK of,S WASHINGTON ST,HIT AND RUN  CO,41.755945803265,-88.141691032612,Traffic Crashes,88,-9811888.16340842,5124491.12620745
5968,2024001028,99I9,CIVIL MATTER / MATTER OF RECORD                             ,2024-02-02,1740,2024-02-02,1749,1300-BLK of,AURORA AV,INFORMATION FOR,41.766259514148,-88.177390524246,Non-Criminal Offenses,89,-9815862.21263869,5126030.30497946
5969,2024001126,99D8,INFORMATION FOR POLICE                                      ,2024-02-05,1601,2024-02-05,1601,1100-BLK of,E OGDEN AV,TELEPHONE HARAS,41.793600400814,-88.126641287527,Non-Criminal Offenses,90,-9810212.83344898,5130111.75215433
5971,2024001052,26F,IDENTITY THEFT                                              ,2024-02-02,0000,2024-02-03,1103,700-BLK of,WOODEWIND DR,FRAUD,41.7844390812,-88.220873052235,Theft,91,-9820702.66551283,5128743.95662435
5972,2024001127,26F,IDENTITY THEFT                                              ,2024-02-02,0000,2024-02-05,1713,200-BLK of,BRIARHEATH LN,FRAUD,41.727887231575,-88.139914096147,Theft,92,-9811690.35574596,5120305.02354757
5973,2024001035,90Z,SUSPENDED OR REVOKED DRIVER`S LICENSE                       ,2024-02-02,1833,2024-02-02,1833,200-BLK of,ROUTE 59/SHOWPLACE DR,TRAFFIC STOP,41.768871355499,-88.205685532567,Other Criminal Offenses,93,-9819011.99855698,5126420.12545653
5974,2024001035,99XX,SPEEDING                                                    ,2024-02-02,1833,2024-02-02,1833,200-BLK of,ROUTE 59/SHOWPLACE DR,TRAFFIC STOP,41.768871355499,-88.205685532567,Other,94,-9819011.99855698,5126420.12545653
5975,2024001035,90Z,"RESIST, OBSTRUCT, DISARM AN OFFICER                         ",2024-02-02,1833,2024-02-02,1833,200-BLK of,ROUTE 59/SHOWPLACE DR,TRAFFIC STOP,41.768871355499,-88.205685532567,Other Criminal Offenses,95,-9819011.99855698,5126420.12545653
5976,2024001035,90G,ILLEGAL TRANSPORTATION OF ALCOHOLIC LIQUOR                  ,2024-02-02,1833,2024-02-02,1833,200-BLK of,ROUTE 59/SHOWPLACE DR,TRAFFIC STOP,41.768871355499,-88.205685532567,Alcohol,96,-9819011.99855698,5126420.12545653
5977,2024001035,26C,OBSTRUCTING IDENTIFICATION                                  ,2024-02-02,1833,2024-02-02,1833,200-BLK of,ROUTE 59/SHOWPLACE DR,TRAFFIC STOP,41.768871355499,-88.205685532567,Theft,97,-9819011.99855698,5126420.12545653
5978,9024000110,99P6,PARKING COMPLAINT,2024-02-05,0000,2024-02-05,1511,,,PARKING COMPLAI,41.7714951,-88.147999,Traffic,98,-9812590.36312599,5126811.73847301
5979,2024001155,99T7,SEX OFFENDER REGISTRATION TRACKING                          ,2024-02-06,1557,2024-02-06,1557,300-BLK of,PRAIRIE KNOLL DR,INFORMATION FOR,41.735337678771,-88.13753688342,Non-Criminal Offenses,99,-9811425.72563568,5121416.38919398
5980,2024001174,90Z,SUSPENDED OR REVOKED DRIVER`S LICENSE                       ,2024-02-06,2245,2024-02-06,2245,,95TH ST/SKYLANE DR,TRAFFIC STOP,41.710265915386,-88.194438564218,Other Criminal Offenses,100,-9817759.9917674,5117677.00612981
5981,2024001166,35A,POSSESSION OF CONTROLLED SUBSTANCE                          ,2024-02-06,1630,2024-02-06,1716,1600-BLK of,COUNTRY LAKES DR,BURGLARY  COLD,41.798655410157,-88.20936456145,Drug Offenses and Narcotics,101,-9819421.54617885,5130866.55454648
5983,2024001166,99I2,DOMESTIC TROUBLE                                            ,2024-02-06,1630,2024-02-06,1716,1600-BLK of,COUNTRY LAKES DR,BURGLARY  COLD,41.798655410157,-88.20936456145,Non-Criminal Offenses,102,-9819421.54617885,5130866.55454648
5984,2024001166,290,CRIMINAL DAMAGE TO PROPERTY                                 ,2024-02-06,1630,2024-02-06,1716,1600-BLK of,COUNTRY LAKES DR,BURGLARY  COLD,41.798655410157,-88.20936456145,Criminal Damage and Trespass,103,-9819421.54617885,5130866.55454648
6419,2024001381,99I1,ABANDONED VEHICLE                                           ,2024-02-12,1108,2024-02-12,1109,1400-BLK of,N EAGLE ST,ABANDONED VEHIC,41.793371366346,-88.150885776284,Non-Criminal Offenses,104,-9812911.71759196,5130077.554663
6420,2024001381,99P6,PARKING COMPLAINT                                           ,2024-02-12,1108,2024-02-12,1109,1400-BLK of,N EAGLE ST,ABANDONED VEHIC,41.793371366346,-88.150885776284,Traffic,105,-9812911.71759196,5130077.554663
7553,2024000774,23C,THEFT - SHOPLIFTING                                         ,2024-01-26,1506,2024-01-26,1506,1400-BLK of,S ROUTE 59,THEFT,41.742953299768,-88.205899585206,Theft,106,-9819035.82678775,5122552.52667312
7554,2024000838,90Z,SUSPENDED OR REVOKED DRIVER`S LICENSE                       ,2024-01-29,0020,2024-01-29,0020,,MERIDIAN LAKES DR/N ROUTE 59,TRAFFIC STOP,41.771456699943,-88.205647218154,Other Criminal Offenses,107,-9819007.73341603,5126806.00686873
7555,2024000838,99B3,OPERATING MOTOR VEHICLE WITH SUSPENDED REGISTRATION         ,2024-01-29,0020,2024-01-29,0020,,MERIDIAN LAKES DR/N ROUTE 59,TRAFFIC STOP,41.771456699943,-88.205647218154,Traffic,108,-9819007.73341603,5126806.00686873
7556,2024000838,99B2,OPERATING UNINSURED MOTOR VEHICLE                           ,2024-01-29,0020,2024-01-29,0020,,MERIDIAN LAKES DR/N ROUTE 59,TRAFFIC STOP,41.771456699943,-88.205647218154,Traffic,109,-9819007.73341603,5126806.00686873
